"nro_corrida","cant_grupos","cant_pasajeros","tpo_cola_taquilla_prom","tpo_cola_taquilla_min","tpo_cola_taquilla_max","tpo_cola_taquilla_p50","tpo_cola_maquina_prom","tpo_cola_maquina_min","tpo_cola_maquina_max","tpo_cola_maquina_p50","tpo_cola_torniquete_prom","tpo_cola_torniquete_min","tpo_cola_torniquete_max","tpo_cola_torniquete_p50","max_area_taquilla","max_area_maquina","max_area_torniquete","tpo_sistema_prom","tpo_sistema_min","tpo_sistema_max","tpo_sistema_p50","porcentaje_ocup_taquilla","porcentaje_ocup_maquina","porcentaje_ocup_torniquete"
91,10292,36284,0.1039,0.0,2.2697,0.0,0.3373,0.0,2.9796,0.0,0.0746,0.0,1.2736,0.103,12,46,69,0.6917,0.2037,5.6587,0.871,31.1524,79.7444,66.9551
92,10285,36436,0.1013,0.0,2.6064,0.0,0.3624,0.0,3.267,0.0,0.0731,0.0,1.0131,0.1651,16,51,50,0.6849,0.204,5.0789,1.5143,29.6267,79.3487,66.8036
93,10152,35803,0.0991,0.0,2.4565,0.0,0.4373,0.0,6.078,0.0,0.0738,0.0,1.0354,0.3403,12,60,56,0.6842,0.2061,5.7914,0.891,29.2366,77.1948,66.2641
94,10105,35797,0.1036,0.0,2.1381,0.0,0.4202,0.0,4.7359,0.1124,0.0783,0.0,1.5866,0.0,16,58,81,0.6927,0.2033,6.1148,1.6246,29.902,79.4491,66.877
95,10081,34977,0.1091,0.0,2.2073,1.152,0.3033,0.0,3.8049,1.5803,0.0713,0.0,1.4662,0.2348,16,48,73,0.6874,0.2039,6.4516,1.2748,29.6371,75.6389,64.8333
96,10226,35605,0.0969,0.0,2.4774,0.0,0.42,0.0,3.9068,1.1494,0.0682,0.0,1.0164,0.2979,11,57,52,0.69,0.2019,5.9344,2.3027,29.7174,78.7576,65.6749
97,10234,35186,0.1002,0.0,2.1943,0.3773,0.3279,0.0,3.2703,0.0,0.0615,0.0,0.8126,0.0,11,40,48,0.6896,0.203,5.8412,0.7237,29.8784,77.6846,64.5208
98,10303,35443,0.0912,0.0,1.8884,0.0,0.2982,0.0,3.2511,0.0,0.069,0.0,1.0545,0.0,11,42,48,0.6855,0.2046,5.3423,0.3577,28.3995,77.2062,65.398
99,10174,35114,0.0991,0.0,2.2006,0.0,0.3304,0.0,4.3859,0.0,0.0668,0.0,1.1016,0.0,13,50,62,0.6885,0.2057,5.7371,1.4673,29.782,76.1849,65.3378
100,10227,35106,0.0952,0.0,1.9598,0.0,0.3381,0.0,3.2337,0.4091,0.0687,0.0,0.9644,0.0614,11,45,57,0.685,0.2058,5.0171,0.3826,28.765,75.7276,64.7076
